862,3
8844,559
8844,2550
8844,10201
15602,6194
15602,19464
31357,306
11862,5842
11862,9195
949,508
949,675
949,6194
11860,4
11860,258
11860,932
11860,5842
11860,14941
11860,55873
11860,58079
45325,2
9091,33
9091,21437
9091,23770
710,60
710,7576
9087,5
9087,97
12110,5
12110,97
12110,6368
21032,33
21032,56
21032,4105
10858,915
10858,1504
1408,183
1408,415
1408,8411
1408,14723
524,33
524,10898
524,11583
524,11584
4584,441
4584,932
5,14
5,59
9273,5682
9273,6194
9273,10210
11517,5
8012,216
8012,8411
1710,508
1710,10104
9691,1885
9691,5358
9691,6194
9691,10308
9691,23397
9691,25061
12665,175
12665,915
451,60
451,15547
16420,5
16420,97
9263,12
17015,288
902,311
902,590
902,591
902,592
902,850
902,851
902,1871
902,6639
902,7237
902,8170
902,9335
902,12009
902,18367
902,25020
902,25021
902,25129
902,47532
902,68517
902,79437
902,79438
902,79439
37557,2588
37557,4507
37557,23647
9909,915
9909,10103
9909,10288
63,33
63,507
63,17031
78802,70801
9598,33
9598,2537
47018,694
47018,874
47018,8363
47018,19316
47018,30226
47018,31080
47018,44821
687,406
687,1382
687,10163
139405,53390
33689,6130
33689,6194
33689,11661
33689,89131
9603,4
34615,53009
34615,85681
34615,89840
31174,871
31174,34237
11443,175
11443,476
11443,915
35196,14
9312,12
9312,4174
577,364
577,441
11861,33
11861,56
807,12
807,4286
807,65394
10530,2
10530,10217
8391,2480
629,361
629,9168
117164,-1
11448,14
11448,1030
49133,-1
26441,2
26441,175
97406,14
97406,7832
124057,7320
124057,10260
9089,4
9089,802
9089,1382
11010,-1
99040,-1
11359,4
11359,441
11359,862
17182,4
2054,915
2054,916
2054,1382
2054,10201
10607,14
10607,3492
10607,5441
19760,6194
19760,10210
9536,8411
9536,11061
9536,36390
9536,38003
11525,12
40628,14
4482,82
4482,1614
4482,3823
4482,5358
10634,12
755,59
755,7405
755,11705
755,53009
11859,1885
11859,6194
28387,5841
28387,5842
48750,1742
48750,5358
48750,22123
20927,12
20927,4286
36929,6194
36929,10210
9102,3388
9102,4899
9102,7958
9102,23096
9102,23097
9102,23098
124626,4606
124626,83201
124626,93174
27526,14
9623,441
46785,38953
46785,38954
400,14
880,575
880,576
880,577
146599,38196
146599,38197
188588,-1
8447,2492
8447,8888
10534,915
10534,1644
10534,1645
17414,306
17414,3311
13997,4
2086,4
61548,14
61548,4665
9095,559
9095,18737
12158,4
9283,14
9283,979
9208,306
9208,456
9208,11362
40154,97
40154,75942
406,802
406,1382
406,5358
406,5869
406,16366
406,22684
406,68517
406,68518
45549,181
63076,3324
63076,7025
63076,12113
63076,12911
63076,12912
63076,12913
11062,5
11062,97
13685,18
13685,441
47475,9195
2045,8411
2045,10308
2045,10355
9614,33
9614,1606
9614,3929
688,56
688,171
688,6194
11907,-1
10874,2
10874,2504
10874,6254
89333,-1
96357,-1
197,4564
197,7965
197,11353
103,441
103,46059
103,46060
33542,12
33542,2521
43566,175
43566,915
71754,806
71754,2055
71754,3498
71754,9116
71754,12745
71754,17027
71754,22150
71754,38673
71754,38674
71754,40534
71754,85045
43612,83
43612,591
43612,694
43612,883
43612,885
51352,-1
16934,3236
10324,559
10324,11061
78406,11308
55731,559
32119,-1
11066,4
11104,540
11104,10932
37975,371
2074,14
27793,264
27793,1766
27793,1979
27793,6194
27793,53009
44284,22029
44284,22618
44284,71842
290157,-1
110972,-1
32622,-1
73067,8
73067,181
73067,1898
73067,5358
11863,4
55475,93488
55475,93489
124636,-1
9101,306
123360,68229
5757,-1
39428,181
39428,38778
39428,94477
39428,94478
124639,-1
9302,1504
9302,9195
11000,60
249882,-1
16388,43
9737,5
9737,10288
30765,6194
10474,12
10474,3492
22279,8
22279,5996
22279,12745
22279,16027
30157,181
30157,3644
30157,3906
30157,7248
30157,16366
30157,37909
568,23
568,33
11780,60
11780,8989
34996,236
34996,1214
34996,5353
414,6194
414,31080
649,386
649,387
649,11290
1873,5
1873,97
5894,14
5894,30334
1775,1382
8839,33
8839,56
8839,11098
20649,33
20649,4319
10329,4
10329,7383
8963,915
8963,10288
26564,4532
8068,5
8068,11705
8512,559
8512,2510
1572,306
1572,1504
13552,729
13552,1474
13552,2765
13552,18902
259209,9195
259209,20740
6520,441
6520,10158
9073,508
9073,644
9073,5358
9073,5739
9073,6194
10428,60
10428,87394
17447,12909
17447,12910
9886,559
9886,2480
9482,915
9482,1504
19326,559
9344,14
9071,13187
9071,13190
8973,60
8973,3557
15730,1203
15730,2267
15730,4350
15730,7320
15730,7828
15730,11578
15730,35859
47608,9195
2293,33
2293,37
2293,11462
2293,16934
9070,306
9070,2106
9070,9255
68274,1382
68274,10163
48787,16561
48787,38959
48787,38960
34574,37897
1642,5
11472,306
11472,436
36196,37890
11980,7405
58372,2492
58372,3906
58372,28205
32646,1422
32646,3906
32646,38692
32646,39861
10533,915
10533,1504
56088,-1
10802,60
10802,183
10802,14723
10149,14
18402,705
18402,6194
18402,16368
9348,8411
139408,171
139408,3864
139408,6194
281,574
5967,1080
5967,1147
5967,14680
79593,915
79593,1382
79593,10201
47939,11308
36834,6849
36834,16026
36834,16027
9090,33
9090,56
3512,508
3512,6194
3512,17825
3512,21480
3512,63906
52856,915
77350,-1
9560,306
9560,2851
9804,33
9804,1073
9804,1302
9804,6092
31611,6068
31611,6911
31611,11661
65796,60
49805,4
26258,306
50797,5358
50797,6453
50797,6454
19155,6367
19155,12745
76,98
76,6194
11017,6365
37141,18189
9382,508
9382,644
9382,5358
9382,10104
9382,16192
6715,33
6715,1595
18256,4867
22625,364
22625,1898
22625,4127
22625,23808
2292,14
2292,16934
1909,12
1909,70
8984,6194
8984,11407
61813,15709
61813,52095
4954,4
62488,11308
62488,11661
10531,8
10531,181
10531,826
10531,3823
10531,5358
10531,8277
10531,68141
11929,97
11929,441
8467,12
8467,11061
10451,5528
10451,10565
10451,25345
20156,14
20156,10166
20156,12800
18395,11308
522,9195
397,306
397,1382
397,10163
397,34207
10525,5
10525,97
27985,306
15789,2
27303,559
21183,21
10954,1429
10954,2359
10954,37581
47867,-1
43475,-1
72031,14
14275,8
14275,13042
1024,11
1024,14
1024,294
1024,2306
17207,175
17207,915
13701,5
13701,2630
13701,4564
14819,2
14819,175
32631,33
32631,11393
11777,4
628,360
87729,2370
87729,9195
18713,175
18713,9195
6280,33
6280,8816
9061,414
9061,6194
9061,36854
37108,2
37108,4063
6071,306
11,1
11,306
9587,5
19101,6194
49980,181
49980,983
17961,9209
18183,84803
18183,84804
4476,348
4476,559
4476,1656
11008,33
47504,8
47504,12
47504,285
32325,181
32325,2832
32325,3268
32325,36836
43742,6194
28313,4
11318,181
11318,798
11318,23022
3036,70
3036,559
40490,2
24070,559
8986,4
8986,862
10510,306
17402,915
38722,70
38722,3906
38722,20928
38722,89873
8438,2428
8438,6194
11593,4
11593,594
11593,761
1945,306
1945,802
1945,1382
39310,4319
109560,7260
109560,42935
56428,11139
63105,7954
63105,21437
131957,23098
241,508
241,644
241,4198
241,6194
241,10104
241,68551
9058,559
527,293
527,294
527,295
18220,12
18220,17067
18220,17068
6950,824
6950,2154
6950,6194
6950,16775
101,5
101,9
63020,28205
2307,915
680,14
680,59
680,216
41478,31080
41478,31715
41478,37580
25296,5528
40156,288
40156,1382
40156,53009
11450,316
11450,915
11450,11407
30304,84839
30304,84840
10452,82
10452,850
10452,5358
10452,6187
10452,6541
10452,7089
10452,8923
10452,18367
10452,18495
10452,53009
10452,75913
12106,559
161495,915
161495,10201
161495,12883
3586,14
110,38
110,183
110,591
110,1245
108,591
108,1610
109,183
109,591
109,850
159185,-1
36357,-1
92769,4899
92769,16953
92769,24946
28033,4
22586,4108
14334,29272
14334,29273
2636,2596
2636,6194
2636,11134
2164,347
2164,694
2164,10320
11395,2
11395,915
278,97
278,6194
9905,181
9905,359
9905,980
9905,1382
87078,78701
12527,14
12527,6647
12527,8861
12527,10015
20306,2832
20306,4063
36614,798
27993,12
27993,4733
27993,4734
31439,1078
31439,25299
9067,2231
9059,33
9059,69626
193,4
25066,4319
25066,11308
46797,-1
12122,33
11381,4
32636,58
36141,14729
95963,11308
95963,23808
95963,37350
1587,4
9271,4
2064,175
2064,915
19855,33
60855,8
60855,806
60855,4908
60855,17027
60855,36024
236,105
236,11840
236,39250
48287,441
48287,10157
3049,6194
3049,10210
2759,1382
12635,37
10497,8
10497,355
10497,441
10497,635
10497,5358
10497,8131
11382,14
9331,4
9331,2767
10731,508
10731,644
10731,6194
10464,12
34152,33
34152,4319
9495,14
9495,4028
9495,4029
9495,4030
9495,6455
29973,508
29973,644
29973,6194
29973,16823
888,33
888,56
888,1353
13,4
712,181
712,1382
712,10163
16295,441
16295,1947
48992,441
48992,37294
48992,37295
10879,175
10879,9195
10660,559
10714,-1
41647,181
41647,201
41647,4606
41647,12914
41647,12915
41647,12916
8587,2
8587,10217
1689,14
11596,12
854,12
854,552
9359,4564
9359,6194
23333,8
23333,14
36593,4
12280,23
12280,33
