297,Aardman Animations
3333,Enterprise Productions
88,Hawk Films
6697,the Canadian Council
998,Royal Film
4125,Available Light Productions
393,MACT Productions
2359,Stéphan Films
72471,Studio Kankourama
72469,Direction du Cinema Haute Volta
512,Cocinor
1152,Independent Television Service
2090,Motion Picture Corporation of America
61085,GEA Cinematográfica
4095,First Run Features
231,Initial Productions
1655,Új Budapest Filmstudió
41954,Producciones Tepeyac
109,Rome Paris Films
328,TLA Releasing
258,Scott Rudin Productions
11661,Rysher Entertainment
1679,Lux Film
5333,Zeta Entertainment
1871,Cofimage 5
2756,Vertigo Productions
4641,Shochiku Company
6274,MK2 Production
2521,Golden Harvest Company
2974,Pope Productions
882,Toho Company
10308,Dino De Laurentiis Company
8724,Australian Film Finance Corporation (AFFC)
25345,Central Motion Pictures
2592,Albatros Produktion
525,Ixtlan Productions
4169,Kanzaman
4285,Universal Cartoon Studios
52003,Elite-Tonfilm-Produktion GmbH
635,Les Films Alain Sarde
1460,"s"""
219,The Mirisch Corporation
31892,"s Incorporated"""
1553,Selznick International Pictures
5612,Brooksfilms
385,Stanley Kubrick Productions
4928,Allied Artists Pictures
1258,Michael Todd Company
5235,Hunt Stromberg Productions
16305,Premier Productions
1432,Republic Pictures
4978,Gaumont British Picture Corporation
12258,Howard Hughes Productions
638,Laurel Group
3248,Santana Pictures Corporation
100,Avon Production
5999,Grand National Pictures
22060,D & B Films Co. Ltd.
38567,BMG Independents
608,Dor Film Produktionsgesellschaft GmbH
887,Neo Productions
761,Cinehaus
44774,Tinderbox Films
5888,Walt Disney
2499,The Kushner-Locke Company
2070,Rastar Pictures
20740,Merchant Ivory Productions
38555,Cinema 7
457,Constellation Films
163,Revolution Films
240,Bazmark Films
13534,First Look Pictures
3475,Walt Disney Television Animation
11707,Vic Films Productions
55239,Transatlantic Films
13954,Rollins-Joffe Productions
20076,HandMade Films
273,Tatira-Hiller Productions
137,Great American Films Limited Partnership
1648,Gladden Entertainment
964,Keith Barish Productions
38857,Orenda Films
7901,Harmony Gold
1317,Charles K. Feldman Group
3358,Discovery Channel Productions
224,Wega Film
208,Bac Films
3989,C&P Productions
874,Cinéa
850,Eurimages
8816,Northern Lights Entertainment
34,Sony Pictures
39526,Woodward Productions
494,AVCO Embassy Pictures
79619,Vision Comunicaciones
416,Python (Monty) Pictures Limited
1373,Jürgen Brüning Filmproduktion
44467,Big Sister Production
17183,Warren Miller Entertainment
2408,Dussault
185,Pandora Cinema
5229,Bryan Foy Productions
4927,Eagle-Lion Films
13479,Edward Small Productions
6084,Scalera Film S.p.a.
168,Jadran Film
3862,Keep Films
23932,UGC PH
53,Les Films du Carrosse
10210,Morgan Creek Productions
10209,Rai Tre Radiotelevisione Italiana
2238,Elsevira
582,Hachette Première
953,Royal Oaks Entertainment
6651,Penta Films
1468,Ferndale Films
36289,Atchafalaya
2081,Beyond Films
49628,Third Floor Productions
1153,Act III Communications
10214,Embassy International Pictures
146,Handmade Films Ltd.
11356,Horizon Pictures (II)
659,London Film Productions
8880,Winkler Films
1598,Nippon Herald Films
3618,Film Workshop
5120,Mosfilm
209,Radiant Film GmbH
6181,Svensk Filmindustri (SF)
500,Goldcrest Films International
3593,Brandenberg
8793,Lawrence Turman
10330,Universal International Pictures (UI)
9387,Cineriz
3902,CBS Entertainment Productions
43854,Nero-Film AG
1657,Greenwich Film Productions
3492,Island Pictures
2737,Davis-Panzer Productions
2269,China Film Co-Production Corporation
1950,New World Pictures
3566,Spinal Tap Prod.
16644,IRE Productions
5237,The Saul Zaentz Company
624,Persky-Bright Productions
79,Village Roadshow Pictures
5025,Helvey-Pray Production
6893,Hit Entertainment
986,Degeto Film
5330,Bruin Grip Services
1002,Eureka Pictures
2150,Greenestreet Films
3525,Skreba Films
35872,Steve White Productions
484,De Laurentiis Entertainment Group (DEG)
36394,A. Ninety-Three Productions
9266,American International Pictures (AIP)
10000,Compagnia Cinematografica Champion
18038,Sterobcar Productions
10715,Alfred J. Hitchcock Productions
14323,Compass International Pictures
4847,Vista Street Entertainment
11390,Melville-Talbot Productions
1959,Jofa Atelier
1242,Reteitalia
123,Trust Film
1011,Michael Obel Productions
1728,Sandrews
7286,Epithète Films
186,Pyramide Productions
12186,Seltzer Films
17725,Redhead Productions
439,Prokino Filmproduktion
979,Woods Entertainment
1765,Turner Pictures
10927,Si Litvinoff Film Production
3276,Elkins Entertainment
4042,Astral Films
36174,O.T.A. Productions
1560,Roth-Arnold Productions
6824,Village Roadshow
1947,New Deal Productions
15889,Stand See
6235,Mirabai Films
4729,Q Productions
174,Warner Bros. Pictures
711,Fox 2000 Pictures
10316,British Columbia Film
10828,MDP Worldwide
2705,Baldini Pictures
23647,La Sept Cinéma
294,New Zealand Film Commission
1474,Desperate Pictures
4056,Hallmark Entertainment
14680,Parc Film
5099,Altamira Pictures Inc.
359,Figment Films
3187,.406 Production
720,Goldwyn Films
130,Jerry Bruckheimer Films
4506,Kasander & Wigman Productions
76425,Phaedra Cinema
5993,Curb Entertainment
870,Tapestry Films
79654,MURDER and murder Production
32218,Terence Michael Productions
18367,Centre National de la Cinématographie (CNC)
76472,Timedial Films
4491,Avventura Films
803,Alliance Atlantis Communications
2554,Quincy Jones-David Salzman Entertainment
16685,United Artists Pictures
826,Capitol Films
8769,Art Linson Productions
27,DreamWorks SKG
11584,De Fina-Cappa
3480,Illusion Entertainment Group
5406,Good Film Company
1274,Clinica Estetico
35,Lions Gate Films
3798,Greentrees Films
2516,Kuzui Enterprises
152,Icon Productions
820,Tapson Steel Films Productions
686,Tiger Aspect Productions
12467,Nomadic Pictures
718,Arts Council of England
54684,101st Street Films
1257,"s Run Productions"""
16804,France 3 Cinema
10571,Asylum Films
8335,The Image Organization
7,DreamWorks
85976,Chase Regency
7576,Eon Productions
29891,Miravista Films
16977,Allied Films
310,Centre National de la Cinématographie
2106,Saban Entertainment
12474,J&M Entertainment
507,Atlas Entertainment
2511,Zero Film GmbH
572,New Amsterdam Entertainment
2154,Punch Productions
377,Bandeira Entertainment
1508,Wildgaze Films
300,Alameda Films
2753,MacGillivray Freeman Films
8213,United Artists Corporation
1236,Mandalay Entertainment
1596,Shooting Gallery
3958,Front Street Pictures
21379,Duo Art Productions
16280,Jean Doumanian Productions
5507,SE8 Group
5755,Constantin Film Produktion
51084,Here Studios
4360,Strength Ltd.
126,Lakeshore Entertainment
2938,Abbas Kiarostami Productions
938,First Floor Features
7942,Cabin Creek Films
4714,HSX Films
813,DiNovi Pictures
12984,Norsk Film
11460,The Institute for the Intellectual Development of Children & Young Adults
29692,Tritone Productions
40460,Joel Castleberg Productions
379,Truth and Soul Pictures Inc
11273,Circle Films
74116,Reynolds Pictures
33333,Paramount Famous Lasky Corporation
5488,Fox Film Corporation
6033,Paramount
4006,Two Cities Films
1980,Woodfall Film Productions
80,The Zanuck Company
2380,Palomar Pictures
6174,Gus Productions
